date,daily_confirmed,cumulative_confirmed
2020-10-17,61871,7494551
2020-10-18,55722,7550273
2020-10-19,46790,7597063
2020-10-20,54044,7651107
2020-10-21,55839,7706946
2020-10-22,54366,7761312
2020-10-23,53370,7814682
2020-10-24,50129,7864811
2020-10-25,45148,7909959
2020-10-26,36470,7946429
2020-10-27,43893,7990322
2020-10-28,49881,8040203
2020-10-29,48648,8088851
2020-10-30,48268,8137119
2020-10-31,46963,8184082
2020-11-01,45231,8229313
2020-11-02,38310,8267623
2020-11-03,46253,8313876
2020-11-04,50210,8364086
2020-11-05,47638,8411724
2020-11-06,50356,8462080
2020-11-07,45674,8507754
2020-11-08,45903,8553657
2020-11-09,38073,8591730
2020-11-10,44281,8636011
2020-11-11,47905,8683916
2020-11-12,44879,8728795
2020-11-13,44684,8773479
2020-11-14,41100,8814579
2020-11-15,30548,8845127
2020-11-16,29163,8874290
2020-11-17,38617,8912907
2020-11-18,45576,8958483
2020-11-19,45882,9004365
2020-11-20,46232,9050597
2020-11-21,45209,9095806
2020-11-22,44059,9139865
2020-11-23,37975,9177840
2020-11-24,44376,9222216
2020-11-25,44489,9266705
2020-11-26,43082,9309787
2020-11-27,41322,9351109
2020-11-28,41810,9392919
2020-11-29,38772,9431691
2020-11-30,31118,9462809
2020-12-01,36604,9499413
2020-12-02,35551,9534964
2020-12-03,36595,9571559
2020-12-04,36652,9608211
2020-12-05,36011,9644222
2020-12-06,32981,9677203
2020-12-07,26567,9703770
2020-12-08,32080,9735850
2020-12-09,31521,9767371
2020-12-10,29373,9796744
2020-12-11,30031,9826775
2020-12-12,30254,9857029
2020-12-13,27071,9884100
2020-12-14,22065,9906165
2020-12-15,26382,9932547
2020-12-16,24010,9956557
2020-12-17,22890,9979447
2020-12-18,25152,10004599
2020-12-19,26624,10031223
2020-12-20,24337,10055560
2020-12-21,19556,10075116
2020-12-22,23950,10099066
2020-12-23,24712,10123778
2020-12-24,23067,10146845
2020-12-25,22273,10169118
2020-12-26,18732,10187850
2020-12-27,20021,10207871
2020-12-28,16432,10224303
2020-12-29,20549,10244852
2020-12-30,21822,10266674
2020-12-31,20035,10286709
2021-01-01,19079,10305788
2021-01-02,18177,10323965
2021-01-03,16504,10340469
2021-01-04,16375,10356844
2021-01-05,18088,10374932
2021-01-06,20346,10395278
2021-01-07,18139,10413417
2021-01-08,0,10413417
2021-01-09,36867,10450284
2021-01-10,16311,10466595
2021-01-11,12584,10479179
2021-01-12,15968,10495147
2021-01-13,16946,10512093
2021-01-14,15590,10527683
2021-01-15,15158,10542841
2021-01-16,15144,10557985
2021-01-17,13788,10571773
2021-01-18,10050,10581823
2021-01-19,13816,10595639
2021-01-20,15244,10610883
2021-01-21,14545,10625428
2021-01-22,14256,10639684
2021-01-23,14849,10654533
2021-01-24,13203,10667736
2021-01-25,9102,10676838
2021-01-26,12689,10689527
2021-01-27,11666,10701193
2021-01-28,18855,10720048
2021-01-29,13082,10733130
2021-01-30,13044,10746174
2021-01-31,11436,10757610
2021-02-01,8635,10766245
2021-02-02,11039,10777284
2021-02-03,12899,10790183
2021-02-04,12408,10802591
2021-02-05,11713,10814304
2021-02-06,12059,10826363
